numLine,bm,nw,ns,tbe,lock,nParal,nc,nword,cycles,nHit,nMiss,nLoadInst,nInst,cpuReq,mmReqs
1000,GEMV_wideLoad_16,4,128,8,8,1,2,8,29069,0,84,84,168,125,43
1000,GEMV_wideLoad_16,4,128,8,8,1,2,16,30085,0,84,84,168,125,43
10000,GEMV_wideLoad_16,4,128,8,8,4,2,8,98829,708,198,906,1556,1358,198
10000,GEMV_wideLoad_16,4,128,16,8,4,2,8,98829,708,198,906,1556,1358,198
10000,GEMV_wideLoad_16,4,128,32,8,4,2,8,98829,708,198,906,1556,1358,198
10000,GEMV_wideLoad_16,4,128,8,8,8,2,8,98965,708,198,906,1556,1358,198
10000,GEMV_wideLoad_16,4,128,16,8,8,2,8,98964,708,198,906,1556,1358,198
10000,GEMV_wideLoad_16,4,128,32,8,8,2,8,98965,708,198,906,1556,1358,198
