25, 1608
46, 1600
82, 1576
162, 1584
194, 1592
223, 1568
242, 1616
256, 3088
272, 2632
288, 2800
304, 3160
320, 2856
322, 2536
324, 2912
326, 3072
328, 3136
330, 2296
334, 2208
336, 3168
338, 2520
340, 3080
342, 3192
344, 2752
346, 3104
348, 2944
350, 2888
352, 3176
354, 2384
384, 2312
388, 3144
392, 3184
396, 3056
400, 3040
404, 2808
408, 3208
412, 3200
416, 2928
420, 3000
424, 2864
428, 2448
432, 2984
436, 2784
440, 2560
444, 3152
448, 2584
456, 3112
464, 3032
472, 3064
480, 2464
488, 3120
496, 2624
504, 3096
511, 2840
512, 3336
513, 3400
514, 3376
515, 3392
516, 3368
768, 8888
769, 8864
770, 8960
771, 8984
772, 8936
773, 8992
774, 8880
775, 8928
776, 8976
777, 8904
1608, 7717, 5, 0
1600, 7698, 4, 0
1576, 2114, 1, 0
1584, 7323, 2, 0
1592, 7419, 3, 0
1568, 2000, 0, 0
1616, 8141, 6, 0
3088, 4616189618054758400, 184, 1656
1656, 4616189618054758400, 5, 0
2632, 4617315517961601024, 127, 1952
1952, 4617315517961601024, 42, 0
2800, 4618441417868443648, 148, 0
3160, 4619567317775286272, 193, 1616
1616, 4619567317775286272, 0, 0
2856, 4611686018427387904, 155, 1736
1736, 4611686018427387904, 15, 0
2536, 4629841154425225216, 115, 1760
1760, 4629841154425225216, 18, 0
2912, 4629981891913580544, 162, 2016
2016, 4629981891913580544, 50, 0
3072, 4630122629401935872, 182, 2192
2192, 4630122629401935872, 72, 0
3136, 4630263366890291200, 190, 2368
2368, 4630263366890291200, 94, 0
2296, 4630404104378646528, 85, 0
2208, 4630685579355357184, 74, 2104
2104, 4630685579355357184, 61, 0
3168, 4630826316843712512, 194, 2976
2976, 4630826316843712512, 170, 0
2520, 4630967054332067840, 113, 1672
1672, 4630967054332067840, 7, 0
3080, 4631107791820423168, 183, 1752
1752, 4631107791820423168, 17, 0
3192, 4631248529308778496, 197, 1696
1696, 4631248529308778496, 10, 0
2752, 4631389266797133824, 142, 1688
1688, 4631389266797133824, 9, 0
3104, 4631530004285489152, 186, 1664
1664, 4631530004285489152, 6, 0
2944, 4631670741773844480, 166, 2136
2136, 4631670741773844480, 65, 0
2888, 4631811479262199808, 159, 2272
2272, 4631811479262199808, 82, 0
3176, 4613937818241073152, 195, 1768
1768, 4631952216750555136, 19, 0
2384, 4632092954238910464, 96, 2064
2064, 4632092954238910464, 56, 0
2312, 4625196817309499392, 87, 1744
1744, 4625196817309499392, 16, 0
3144, 4625478292286210048, 191, 1848
1848, 4625478292286210048, 29, 0
3184, 4625759767262920704, 196, 2096
2096, 4625759767262920704, 60, 0
3056, 4626041242239631360, 180, 1784
1784, 4626041242239631360, 21, 0
3040, 4626322717216342016, 178, 1800
1800, 4626322717216342016, 23, 0
2808, 4626604192193052672, 149, 1632
1632, 4626604192193052672, 2, 0
3208, 4626885667169763328, 199, 2240
2240, 4626885667169763328, 78, 0
3200, 4627167142146473984, 198, 2512
2512, 4627167142146473984, 112, 0
2928, 4627448617123184640, 164, 2232
2232, 4627448617123184640, 77, 0
3000, 4627730092099895296, 173, 1704
1704, 4627730092099895296, 11, 0
2864, 4628011567076605952, 156, 2176
2176, 4628011567076605952, 70, 0
2448, 4628293042053316608, 104, 1928
1928, 4628293042053316608, 39, 0
2984, 4628574517030027264, 171, 1720
1720, 4628574517030027264, 13, 0
2784, 4628855992006737920, 146, 0
2560, 4629137466983448576, 118, 0
3152, 4629418941960159232, 192, 1776
1776, 4629418941960159232, 20, 0
2584, 4620693217682128896, 121, 1880
1880, 4620693217682128896, 33, 0
3112, 4621256167635550208, 187, 1968
1968, 4621256167635550208, 44, 0
3032, 4621819117588971520, 177, 1856
1856, 4621819117588971520, 30, 0
3064, 4622382067542392832, 181, 1912
1912, 4622382067542392832, 37, 0
2464, 4622945017495814144, 106, 1680
1680, 4622945017495814144, 8, 0
3120, 4623507967449235456, 188, 2224
2224, 4623507967449235456, 76, 0
2624, 4624070917402656768, 126, 1640
1640, 4624070917402656768, 3, 0
3096, 4624633867356078080, 185, 1648
1648, 4624633867356078080, 4, 0
2840, 4607182418800017408, 153, 1624
1624, 4607182418800017408, 1, 0
3336, 0, 16, 3208
3208, 0, 0, 0
3400, 1, 24, 3216
3216, 1, 1, 0
3376, 2, 21, 3272
3272, 2, 8, 0
3392, 3, 23, 3256
3256, 3, 6, 0
3368, 4, 20, 3240
3240, 4, 4, 0
8888, 0, 686, 3488
3488, 0, 11, 0
8864, 1, 683, 3536
3536, 1, 17, 0
8960, 2, 695, 3416
3416, 2, 2, 0
8984, 3, 698, 3432
3432, 3, 4, 0
8936, 4, 692, 3400
3400, 4, 0, 0
8992, 5, 699, 3424
3424, 5, 3, 0
8880, 6, 685, 3408
3408, 6, 1, 0
8928, 7, 691, 3792
3792, 7, 49, 0
8976, 8, 697, 3440
3440, 8, 5, 0
8904, 9, 688, 3464
3464, 9, 8, 0
